rank,candidate_id,headword,round1_role,known_noun_question_ja,known_noun_correct_ja,known_noun_distractor_ja_1,known_noun_distractor_ja_2,known_noun_distractor_ja_3,target_context_sentence_en,target_verb_question_ja,target_verb_correct_ja,target_verb_distractor_ja_1,target_verb_distractor_ja_2,target_verb_distractor_ja_3,relatedness_display_ja,guessability_display_ja,gloss_variants_to_test,prompt_notes,prompt_source,round1_use_priority,source_audit_decision,risk_summary,source_notes
1,homo_nv_p02,cow,core_final_set_contender,cow の名詞の意味として最も適切なものを選んでください。,牛,犬,海岸,床,The coach tried to cow the players into silence.,次の文の cow の意味として最も適切なものを選んでください。,おびえさせて従わせる,餌をやる,数える,磨く,名詞「牛」と動詞「おびえさせて従わせる」はどの程度関連していると感じますか。,名詞「牛」だけを知っていたとして、動詞「おびえさせて従わせる」をどの程度推測できそうですか。,おびえさせて従わせる; 威圧する,Keep the intimidation context clear but avoid rare words beyond the target.,top10_pre_pilot_pack,core_contender,continue_audit,register=medium; phrase-boundness=medium,"Cow as an animal noun is visible, and cow as intimidate is dictionary-supported without a Japanese loanword bridge. The main risk is context clarity for the abstract intimidation target."
2,homo_nv_p07,dog,core_final_set_contender,dog の名詞の意味として最も適切なものを選んでください。,犬,牛,アヒル,帽子,Reporters may dog the actor for weeks.,次の文の dog の意味として最も適切なものを選んでください。,しつこく追跡する,ほめる,料理する,眠らせる,名詞「犬」と動詞「しつこく追跡する」はどの程度関連していると感じますか。,名詞「犬」だけを知っていたとして、動詞「しつこく追跡する」をどの程度推測できそうですか。,しつこく追跡する; つきまとう,Norm whether animal behavior makes the verb too guessable.,top10_pre_pilot_pack,core_contender,continue_audit,register=medium; phrase-boundness=medium; conversion transparency=medium; guessability=medium,"Dog as follow/pursue is dictionary-supported and not loanword-cued. The animal behavior route may make the target somewhat guessable, so norming must decide."
3,low_nv_x07,pound,core_final_set_contender,pound の名詞の意味として最も適切なものを選んでください。,ポンド,針,胃,正方形,The rain will pound the roof all night.,次の文の pound の意味として最も適切なものを選んでください。,激しく打つ,値段を下げる,港に入る,名前を変える,名詞「ポンド」と動詞「激しく打つ」はどの程度関連していると感じますか。,名詞「ポンド」だけを知っていたとして、動詞「激しく打つ」をどの程度推測できそうですか。,激しく打つ; 強くたたく,Check whether pound as weight or currency is familiar enough without cueing the hitting verb.,top10_pre_pilot_pack,core_contender,continue_audit,school English=medium; loanword=medium,Pound as a unit/currency noun and pound as hit are dictionary-supported and not strongly bridged by Japanese loanword knowledge. It remains a plausible low-relatedness candidate.
4,homo_nv_p04,coast,core_final_set_contender,coast の名詞の意味として最も適切なものを選んでください。,海岸,床,牛,帽子,The bike can coast down the hill.,次の文の coast の意味として最も適切なものを選んでください。,惰性で進む,海岸を作る,強くたたく,からかう,名詞「海岸」と動詞「楽に進む」はどの程度関連していると感じますか。,名詞「海岸」だけを知っていたとして、動詞「楽に進む」をどの程度推測できそうですか。,楽に進む; 惰性で進む,"The sentence is simple, but norm whether motion imagery makes the target too guessable.",top10_pre_pilot_pack,core_contender,continue_audit,domain=medium; phrase-boundness=medium; conversion transparency=medium; guessability=medium,"Coast has a familiar shore noun and a motion-without-power verb. The verb is not loanword-cued, but the motion route may be only moderately distant."
5,homo_nv_p03,floor,core_final_set_contender,floor の名詞の意味として最も適切なものを選んでください。,床,海岸,牛,光線,The hard question will floor many students.,次の文の floor の意味として最も適切なものを選んでください。,完全に困惑させる,掃除する,歩かせる,値段を決める,名詞「床」と動詞「完全に困惑させる」はどの程度関連していると感じますか。,名詞「床」だけを知っていたとして、動詞「完全に困惑させる」をどの程度推測できそうですか。,完全に困惑させる; 困惑させる,Norm whether learners infer the verb from knocking someone down.,top10_pre_pilot_pack,core_contender,continue_audit,loanword=medium; register=medium; phrase-boundness=medium; conversion transparency=medium; guessability=medium,"Floor as an object/place noun is highly visible. The target can mean dumbfound, but this may be conceptually linked to knocking someone down, so relatedness and guessability must be normed."
6,low_nv_x25,needle,core_final_set_contender,needle の名詞の意味として最も適切なものを選んでください。,針,鉛筆,スカート,卵,His friends may needle him about the mistake.,次の文の needle の意味として最も適切なものを選んでください。,しつこくからかう,縫う,測る,笑顔になる,名詞「針」と動詞「からかう」はどの程度関連していると感じますか。,名詞「針」だけを知っていたとして、動詞「からかう」をどの程度推測できそうですか。,からかう; しつこくからかう,Informal register needs a direct acceptability check for A2-B1 learners.,top10_pre_pilot_pack,core_contender,continue_audit,register=medium,"Needle as a tool noun is dictionary-supported, and the target criticize or tease sense is also dictionary-supported but informal. It is unlikely to be loanword-cued for Japanese A2-B1 learners."
7,low_nv_x13,cap,core_final_set_contender,cap の名詞の意味として最も適切なものを選んでください。,帽子,牛,針,港,The school may cap the class at thirty students.,次の文の cap の意味として最も適切なものを選んでください。,上限を設ける,帽子をかぶせる,教室を掃除する,大声で読む,名詞「帽子」と動詞「制限する」はどの程度関連していると感じますか。,名詞「帽子」だけを知っていたとして、動詞「制限する」をどの程度推測できそうですか。,制限する; 上限を設ける,Target preknowledge through capacity or price-cap language must be checked.,top10_pre_pilot_pack,core_contender,continue_audit,school English=medium; loanword=medium; Japanese transfer=medium; register=medium; domain=medium,"Cap as hat is visible, while cap as limit is not obviously inferable from the hat noun. Watch for prior knowledge through capacity/cap-on-prices uses."
8,low_nv_x27,bolt,core_final_set_contender,bolt の名詞の意味として最も適切なものを選んでください。,ボルト,マグカップ,切り株,光線,The horse may bolt when it hears a loud noise.,次の文の bolt の意味として最も適切なものを選んでください。,急に逃げる,ねじで留める,食べ物を出す,静かに眠る,名詞「ボルト」と動詞「急に逃げる」はどの程度関連していると感じますか。,名詞「ボルト」だけを知っていたとして、動詞「急に逃げる」をどの程度推測できそうですか。,急に逃げる; 急に走り去る,Include a noun-route check so Bolt as a name does not replace the hardware noun route.,top10_pre_pilot_pack,core_contender,continue_audit,loanword=medium; Japanese transfer=medium,Bolt as a hardware noun and bolt as move very fast or run away are dictionary-supported. Japanese Bolt-name contamination is possible but the target is not directly loanword-cued.
9,low_nv_x03,frame,core_final_set_contender,frame の名詞の意味として最も適切なものを選んでください。,額縁,ポンド,海岸,帽子,The thief tried to frame another man.,次の文の frame の意味として最も適切なものを選んでください。,罪を着せる,写真を飾る,道を渡る,音を出す,名詞「額縁」と動詞「罪を着せる」はどの程度関連していると感じますか。,名詞「額縁」だけを知っていたとして、動詞「罪を着せる」をどの程度推測できそうですか。,罪を着せる; でっち上げる,Legal context should stay simple; avoid advanced crime vocabulary beyond innocent.,top10_pre_pilot_pack,core_contender,continue_audit,loanword=medium; register=medium; domain=medium; phrase-boundness=medium,"Frame as an object noun is visible enough, while frame someone is likely not transparent from the Japanese noun route. The legal/accusation context needs norming."
10,low_nv_x24,stomach,core_final_set_contender,stomach の名詞の意味として最も適切なものを選んでください。,胃,針,床,銀行,I cannot stomach his rude jokes.,次の文の stomach の意味として最も適切なものを選んでください。,我慢する,食事を作る,大声で笑う,急に走る,名詞「胃」と動詞「我慢する」はどの程度関連していると感じますか。,名詞「胃」だけを知っていたとして、動詞「我慢する」をどの程度推測できそうですか。,我慢する; 耐える,Norm whether body-part imagery makes tolerate too guessable.,top10_pre_pilot_pack,core_contender,continue_audit,school English=medium; register=medium; phrase-boundness=medium; conversion transparency=medium; guessability=medium,"Stomach has an A2 body-part noun and a dictionary-supported tolerate or endure verb. The body-to-emotion route may be moderately inferable, so norming must check relatedness and prior knowledge."
11,homo_nv_p12,duck,core_round1_watch,duck の名詞の意味として最も適切なものを選んでください。,アヒル,牛,帽子,銀行,The player had to duck under the rope.,次の文の duck の意味として最も適切なものを選んでください。,身をかがめる,鳴く,泳ぐ,料理する,名詞「アヒル」と動詞「さっと身をかがめる」はどの程度関連していると感じますか。,名詞「アヒル」だけを知っていたとして、動詞「さっと身をかがめる」をどの程度推測できそうですか。,さっと身をかがめる; 身をかがめる,"Motion context is simple, but guessability from bird movement must be normed strictly.",new_round1_minimum_draft,core_watch,continue_audit,school English=medium; conversion transparency=medium; guessability=medium,"Duck has a visible bird noun and a movement verb. It is not loanword-cued, but the motion target may be moderately guessable and needs direct norming."
12,low_nv_x29,beam,core_round1_watch,beam の名詞の意味として最も適切なものを選んでください。,光線,港,皿,春,The child began to beam at her teacher.,次の文の beam の意味として最も適切なものを選んでください。,にっこり笑う,光を当てる,水を飲む,値段を下げる,名詞「光線」と動詞「にっこり笑う」はどの程度関連していると感じますか。,名詞「光線」だけを知っていたとして、動詞「にっこり笑う」をどの程度推測できそうですか。,にっこり笑う; 晴れやかに笑う,Brightness metaphor may raise relatedness or guessability; treat as a core watch item.,new_round1_minimum_draft,core_watch,continue_audit,loanword=medium; Japanese transfer=medium; conversion transparency=medium; guessability=medium,"Beam has a light-ray noun and a smile-with-joy verb. It is dictionary-supported but may be a moderately transparent brightness metaphor, so it needs direct relatedness and guessability norming."
13,low_nv_x26,mug,core_round1_watch,mug の名詞の意味として最も適切なものを選んでください。,マグカップ,ボルト,切り株,卵,A man tried to mug a woman in the park.,次の文の mug の意味として最も適切なものを選んでください。,襲って奪う,飲み物を入れる,写真を撮る,静かに眠る,名詞「マグカップ」と動詞「襲って奪う」はどの程度関連していると感じますか。,名詞「マグカップ」だけを知っていたとして、動詞「襲って奪う」をどの程度推測できそうですか。,襲って奪う; 強奪する,Crime-domain context should stay simple; noun familiarity through Japanese mug cup needs direct checking.,new_round1_minimum_draft,core_watch,continue_audit,loanword=medium; register=medium; domain=medium,"Mug has a familiar cup-noun route through Japanese mug cup, while mug as attack and steal is dictionary-supported and not transparently cued by the noun."
14,low_nv_x09,doctor,core_round1_watch,doctor の名詞の意味として最も適切なものを選んでください。,医者,銀行,春,靴下,They tried to doctor the report.,次の文の doctor の意味として最も適切なものを選んでください。,改ざんする,診察する,料理する,港に入る,名詞「医者」と動詞「改ざんする」はどの程度関連していると感じますか。,名詞「医者」だけを知っていたとして、動詞「改ざんする」をどの程度推測できそうですか。,改ざんする; 不正に手を加える,"Report context is short, but target register and learner-list visibility remain unresolved.",new_round1_minimum_draft,core_watch,continue_audit,loanword=medium; register=medium; domain=medium,"Doctor as a noun is highly visible, while doctor as falsify/alter is not transparent from the medical-person noun for Japanese learners. Register should be checked."
15,low_nv_x15,harbor,core_round1_watch,harbor の名詞の意味として最も適切なものを選んでください。,港,海岸,床,針,The family tried to harbor the thief.,次の文の harbor の意味として最も適切なものを選んでください。,かくまう,港に入る,数を数える,帽子をかぶる,名詞「港」と動詞「かくまう」はどの程度関連していると感じますか。,名詞「港」だけを知っていたとして、動詞「かくまう」をどの程度推測できそうですか。,かくまう; 隠して守る,Noun familiarity may be weak; the crime context is necessary but should not add difficult vocabulary.,new_round1_minimum_draft,core_watch,continue_audit,register=medium; domain=medium; phrase-boundness=medium; conversion transparency=medium,Harbor is promising if learners know the noun. The target harbor a person/feeling is metaphorical and may be context-bound but not directly loanword-cued.
16,low_nv_x28,skirt,core_round1_watch,skirt の名詞の意味として最も適切なものを選んでください。,スカート,マグカップ,光線,切り株,The student tried to skirt the question.,次の文の skirt の意味として最も適切なものを選んでください。,避けて通る,スカートをはく,声に出して読む,水を温める,名詞「スカート」と動詞「避けて通る」はどの程度関連していると感じますか。,名詞「スカート」だけを知っていたとして、動詞「避けて通る」をどの程度推測できそうですか。,避けて通る; 回避する,This may be phrase-bound; keep only if norming shows low target prior knowledge and low guessability.,new_round1_minimum_draft,core_watch,continue_audit,school English=medium; loanword=medium; Japanese transfer=medium; register=medium; phrase-boundness=medium; conversion transparency=medium; guessability=medium,"Skirt is a highly visible clothing noun and the target go around or avoid sense is dictionary-supported. Japanese skirt is a strong noun-form loanword, but it does not directly reveal the target verb sense."
17,homo_nv_p05,dish,reserve_fill_to_round1_minimum,dish の名詞の意味として最も適切なものを選んでください。,皿,床,針,帽子,Friends may dish about the actor after class.,次の文の dish の意味として最も適切なものを選んでください。,うわさ話をする,皿を洗う,強くたたく,水深を測る,名詞「皿」と動詞「うわさ話をする」はどの程度関連していると感じますか。,名詞「皿」だけを知っていたとして、動詞「うわさ話をする」をどの程度推測できそうですか。,うわさ話をする; うわさを話す,Reserve only because the target is colloquial and phrase-bound.,new_round1_minimum_draft,reserve_diagnostic,reserve_only,register=high; phrase-boundness=high,"Dish as gossip is dictionary-supported mainly in a phrase such as dish the dirt. The target is colloquial and phrase-bound, which makes it noisy for A2-B1 norming."
18,low_nv_x19,spring,reserve_fill_to_round1_minimum,spring の名詞の意味として最も適切なものを選んでください。,春,季節,銀行,皿,The cat may spring from the box.,次の文の spring の意味として最も適切なものを選んでください。,跳び出る,春になる,うわさ話をする,水深を測る,名詞「春」と動詞「跳び出る」はどの程度関連していると感じますか。,名詞「春」だけを知っていたとして、動詞「跳び出る」をどの程度推測できそうですか。,跳び出る; 急に動く,Reserve only because spring as jump or coil may already be known.,new_round1_minimum_draft,reserve_diagnostic,reserve_only,school English=medium; phrase-boundness=medium; conversion transparency=medium; guessability=medium,"Spring as season is visible, but learners may also know spring as a coil or jump/bounce word. That extra-sense visibility can contaminate the intended noun route."
19,homo_nv_p09,bank,reserve_fill_to_round1_minimum,bank の名詞の意味として最も適切なものを選んでください。,銀行,港,アヒル,卵,The plane began to bank to the left.,次の文の bank の意味として最も適切なものを選んでください。,機体を傾ける,お金を預ける,にっこり笑う,味付けする,名詞「銀行」と動詞「機体を傾ける」はどの程度関連していると感じますか。,名詞「銀行」だけを知っていたとして、動詞「機体を傾ける」をどの程度推測できそうですか。,機体を傾ける; 傾けて飛ぶ,Reserve only because the target is aviation-domain heavy.,new_round1_minimum_draft,reserve_diagnostic,reserve_only,loanword=medium; register=medium; domain=high,"Bank as financial noun is highly visible, but the target aircraft-turning verb is domain-heavy. This is semantically clean but may test aviation vocabulary rather than low-relatedness learning."
20,homo_nv_p01,sound,reserve_fill_to_round1_minimum,sound の名詞の意味として最も適切なものを選んでください。,音,銀行,皿,港,The crew used a line to sound the water.,次の文の sound の意味として最も適切なものを選んでください。,水深を測る,音を出す,皿を洗う,走って逃げる,名詞「音」と動詞「水深を測る」はどの程度関連していると感じますか。,名詞「音」だけを知っていたとして、動詞「水深を測る」をどの程度推測できそうですか。,水深を測る; 水深を調べる,Reserve only because the target is nautical and technical.,new_round1_minimum_draft,reserve_diagnostic,reserve_only,loanword=medium; register=medium; domain=high,"Sound has a very visible noise noun sense, while the target water-depth verb is dictionary-supported but nautical and technical. The item is semantically clean but pedagogically domain-heavy."
21,homo_nv_p06,sock,reserve_fill_to_round1_minimum,sock の名詞の意味として最も適切なものを選んでください。,靴下,スカート,皿,春,He may sock the bag during practice.,次の文の sock の意味として最も適切なものを選んでください。,強打する,靴下をはく,味付けする,改ざんする,名詞「靴下」と動詞「強打する」はどの程度関連していると感じますか。,名詞「靴下」だけを知っていたとして、動詞「強打する」をどの程度推測できそうですか。,強打する; 殴る,Reserve only because the target verb is informal.,new_round1_minimum_draft,reserve_diagnostic,reserve_only,loanword=medium; register=high; phrase-boundness=medium,"Sock as hit is dictionary-supported, but the verb is informal and the headword is lower-frequency than other anchors. It is usable only as a reserve."
22,low_nv_x04,season,reserve_fill_to_round1_minimum,season の名詞の意味として最も適切なものを選んでください。,季節,春,卵,港,Please season the soup with salt.,次の文の season の意味として最も適切なものを選んでください。,味付けする,季節を選ぶ,水深を測る,罪を着せる,名詞「季節」と動詞「味付けする」はどの程度関連していると感じますか。,名詞「季節」だけを知っていたとして、動詞「味付けする」をどの程度推測できそうですか。,味付けする; 調味する,Reserve only because seasoning knowledge may be visible through food-domain transfer.,new_round1_minimum_draft,reserve_diagnostic,reserve_only,school English=medium; loanword=medium; Japanese transfer=medium; domain=medium; conversion transparency=medium; guessability=medium,"Season is a common school word, and the food verb is dictionary-supported. However, seasoning/seasoned are familiar loanword-like cues in the food domain."
23,low_nv_x33,stump,reserve_fill_to_round1_minimum,stump の名詞の意味として最も適切なものを選んでください。,切り株,マグカップ,ボルト,光線,This problem may stump many students.,次の文の stump の意味として最も適切なものを選んでください。,困らせる,木を切る,港に入る,強くたたく,名詞「切り株」と動詞「困らせる」はどの程度関連していると感じますか。,名詞「切り株」だけを知っていたとして、動詞「困らせる」をどの程度推測できそうですか。,困らせる; 答えに詰まらせる,Reserve only because noun familiarity is likely weak for A2-B1 learners.,new_round1_minimum_draft,reserve_diagnostic,reserve_only,register=medium; phrase-boundness=medium,"Stump as a tree-remnant noun and stump as baffle are dictionary-supported. The target is clean, but noun familiarity is likely too weak for A2-B1 Japanese learners."
24,low_nv_x32,egg,reserve_fill_to_round1_minimum,egg の名詞の意味として最も適切なものを選んでください。,卵,春,切り株,皿,His friends may egg him on to jump.,次の文の egg の意味として最も適切なものを選んでください。,けしかける,卵を料理する,港に入る,音を出す,名詞「卵」と動詞「けしかける」はどの程度関連していると感じますか。,名詞「卵」だけを知っていたとして、動詞「けしかける」をどの程度推測できそうですか。,けしかける; そそのかす,Reserve only because the target is dependent on the particle on.,new_round1_minimum_draft,reserve_diagnostic,reserve_only,register=medium; phrase-boundness=high,"Egg has a very visible food noun, and egg on is dictionary-supported. It is semantically clean but too dependent on the particle on for a primary noun-to-verb item."
